LUT7,LUT6,LUT5,LUT4,LUT3,MEM64,MEM32,MEM16,Regs,DSPs,BRAM,Routing BRAM,Routing LUTs,Fanout Regs,Unavail. ALMs,Impl. ALMs,Needed ALMs
457,9230,13735,12125,22881,4619,519,1101,82833,0,338,0,26186,4068,679,61240,51323
671,10181,18775,13685,36493,4619,519,3078,111007,0,338,0,34501,5217,872,79996,67817
973,15557,26867,14608,57717,4619,519,5519,146280,0,338,0,38297,5997,124,107539,89878
1335,15347,37280,17841,97595,4619,519,10511,216565,0,338,0,61855,8386,1948,156188,129614
472,9482,12449,11247,23622,4619,519,989,80159,10,338,0,22662,3697,531,60075,49122
409,9047,13452,12361,25313,4619,519,2709,97532,50,338,0,33286,4197,691,69421,56925
410,9003,14611,12959,31174,4619,519,4859,119232,100,338,0,42483,4507,651,82585,66491
468,9650,16631,13417,51619,4619,519,9159,162341,200,338,0,51510,4806,555,109860,85736
411,9614,12807,12646,22249,4619,574,577,82207,0,338,0,24843,3755,533,61332,51176
409,12347,14567,16138,42686,4619,776,649,107111,0,338,0,27601,4689,618,80169,67426
511,28351,21069,32921,138651,4619,1789,1009,235267,0,338,0,40846,8415,614,179655,150161
525,47168,27538,56659,256232,4554,54,384,390125,0,1272,934,26646,16069,6938,251882,244212
470,9554,12388,11344,22303,4619,519,559,76409,0,338,0,21032,3780,563,57113,47578
477,9976,13121,11942,22406,4619,519,559,78565,0,338,0,21444,3862,621,58547,48845
405,9447,14161,13953,20182,4619,519,559,81912,0,338,0,24672,3982,654,60077,50496
388,9496,14634,18933,20455,4619,519,559,87728,0,338,0,25741,4159,759,65304,53777
467,9502,12334,11261,22196,4619,519,559,76347,0,338,0,21027,3827,511,56992,47382
473,9660,12603,11964,22324,4619,519,559,78553,0,338,0,21889,3835,548,58334,48443
407,9314,13242,13332,19901,4619,519,559,81312,0,338,0,25050,4103,551,59201,49552
409,9762,14094,14832,20190,4619,519,559,86816,0,338,0,26300,4118,638,62351,52214
468,9551,12365,11374,22312,4619,519,559,76409,0,338,0,21105,3794,565,57175,47582
474,9926,13130,12000,22385,4619,519,559,78565,0,338,0,21091,3780,588,58243,48759
398,9322,14154,14140,20144,4619,519,559,81912,0,338,0,25383,4149,716,61589,50494
388,9296,14700,19067,20455,4619,519,559,87728,0,338,0,27603,4280,767,67081,53730
438,10360,17346,16788,24319,4619,519,559,92835,0,338,0,27807,3943,683,67971,57431
1101,15860,20963,17994,28532,4619,519,559,110475,0,338,0,31626,4942,759,82305,68956
642,14534,36590,26638,46950,4619,519,559,144884,0,338,0,30837,5372,727,106971,87825
443,9096,13103,12211,21235,4619,519,679,79575,25,348,0,24820,3944,633,58878,49228
480,9251,13803,12637,22900,4619,519,799,83385,50,358,0,25937,3913,691,62821,51363
750,12442,16767,17344,36625,4619,5119,1759,113587,250,438,0,30560,4356,1203,82072,68841
438,13025,25731,21895,58580,4619,519,2959,151678,500,538,0,32604,4846,1284,106612,89191
442,14722,32814,27027,76901,4619,519,4159,189779,750,638,0,37798,5450,2079,130755,110693
425,9014,12705,12059,21775,4619,519,769,80865,35,353,0,25369,3758,526,59493,49397
441,9115,13174,12233,23961,4619,519,979,85965,70,368,0,26970,3857,608,62827,51792
567,10042,16265,14286,41207,4619,519,2659,126775,350,488,0,38088,4453,590,85493,70262
760,11655,19793,16334,68986,4619,519,4759,177770,700,638,0,47188,5428,490,117184,93447
907,12778,23510,18931,93037,4619,519,6859,228770,1050,788,0,60802,6451,480,148476,116770
473,9469,12261,11203,24296,4619,574,559,80605,0,338,0,23179,3710,552,60177,49133
416,8966,12431,11953,24010,4619,629,559,85455,0,338,0,26950,3904,544,61501,51045
423,9082,12835,12557,41818,4619,1069,559,124225,0,338,0,38992,5303,600,81957,66856
479,9614,12929,12662,69828,4619,1619,559,172380,0,338,0,46586,6638,502,107760,86503
469,9445,12223,11143,22202,4619,519,559,75488,0,338,0,21016,3663,514,56477,47107
471,9446,12243,11156,22182,4619,519,559,75476,0,338,0,20890,3634,524,56511,47105
468,9468,12232,11118,22230,4619,519,559,75558,0,339,1,21124,3638,551,56625,47154
467,9444,12248,11143,22206,4619,519,559,75961,0,339,1,21451,3724,568,56754,47387
472,9453,12215,11165,22318,4619,519,559,76757,0,339,1,21691,3759,549,57106,47678
465,9469,12185,11179,22436,4619,519,559,77763,0,339,1,22167,3616,527,57546,48117
407,8932,12329,11838,19600,4619,519,559,79770,0,339,1,26666,3670,536,58533,48858
471,9446,12243,11156,22184,4619,519,559,75476,0,339,1,20957,3787,517,56555,47135
468,9468,12232,11118,22240,4619,519,559,75558,0,339,1,20964,3809,495,56726,47154
467,9444,12248,11143,22256,4619,519,559,75961,0,339,1,21084,3679,559,56759,47353
472,9453,12215,11165,22418,4619,519,559,76757,0,339,1,21582,3766,547,57151,47639
